Player,height_in,weight_lb
Cedric Coward,77,206.0
Dave Cowens,81,230.0
Chubby Cox,74,180.0
Johnny Cox,76,180.0
Wesley Cox,78,215.0
Allen Crabbe,77,212.0
Torrey Craig,77,221.0
Chris Crawford,81,235.0
Freddie Crawford,76,189.0
Isaiah Crawford,78,220.0
Jamal Crawford,77,185.0
Joe Crawford,77,210.0
Jordan Crawford,76,195.0
Mitch Creek,78,225.0
Jim Creighton,80,200.0
Ron Crevier,84,235.0
Hal Crisler,75,215.0
Joe Crispin,72,185.0
Charlie Criss,68,165.0
Russ Critchfield,70,150.0
Winston Crite,79,233.0
Javaris Crittenton,77,200.0
Dillard Crocker,76,205.0
Bobby Croft,82,200.0
Geoff Crompton,83,280.0
Terry Crosby,76,195.0
Austin Croshere,81,235.0
Jeff Cross,82,240.0
Pete Cross,81,230.0
Russell Cross,82,215.0
Chink Crossin,73,165.0
John Crotty,73,185.0
Bill Crow,73,180.0
Mark Crow,79,210.0
Corey Crowder,77,214.0
Jae Crowder,78,235.0
Jalen Crutcher,73,175.0
LJ Cryer,73,202.0
Al Cueto,79,230.0
Cui Yongxi,77,190.0
Jarrett Culver,78,195.0
Jarron Cumberland,77,205.0
Pat Cummings,81,230.0
Terry Cummings,81,220.0
Vonteego Cummings,75,185.0
Billy Cunningham,78,210.0
Cade Cunningham,78,220.0
Dante Cunningham,80,230.0
Dick Cunningham,82,245.0
Jared Cunningham,76,195.0
William Cunningham,83,250.0
Radisav Ćurčić,82,275.0
Armand Cure,72,198.0
Earl Cureton,81,210.0
Bill Curley,81,220.0
Fran Curran,72,175.0
Dell Curry,76,190.0
Eddy Curry,84,295.0
JamesOn Curry,75,190.0
Michael Curry,77,210.0
Seth Curry,73,185.0
Stephen Curry,74,185.0
Rastko Cvetković,85,260.0
Mike D'Antoni,75,185.0
Tristan Da Silva,80,217.0
Mike Dabich,84,242.0
Pacôme Dadiet,81,210.0
Ed Dahler,77,190.0
Quintin Dailey,75,180.0
Samuel Dalembert,83,255.0
Howie Dallmar,76,200.0
Erick Dampier,83,265.0
Louie Dampier,72,170.0
Bob Dandridge,78,195.0
Antonio Daniels,76,195.0
Dyson Daniels,79,199.0
Erik Daniels,80,214.0
Lloyd Daniels,79,205.0
Marquis Daniels,78,200.0
Mel Daniels,81,220.0
Troy Daniels,76,200.0
Sasha Danilović,77,200.0
N'Faly Dante,83,230.0
Adrian Dantley,77,208.0
Pete Darcey,79,217.0
Jimmy Darden,73,170.0
Ollie Darden,79,235.0
Yinka Dare,84,265.0
Jesse Dark,77,210.0
Nate Darling,77,200.0
Rick Darnell,82,215.0
Jimmy Darrow,70,170.0
Gigi Datome,80,215.0
Brad Daugherty,84,245.0
Mack Daughtry,75,175.0
Kornél Dávid,81,235.0
Jermareo Davidson,82,230.0
Bob Davies,73,175.0
Brandon Davies,82,240.0
Anthony Davis,82,253.0
Antonio Davis,81,215.0
Aubrey Davis,74,175.0
Baron Davis,75,209.0
Ben Davis,81,240.0
Bill Davis,75,215.0
Bob Davis,79,215.0
Brad Davis,75,180.0
Brian Davis,79,200.0
Charles Davis,79,215.0
Charlie Davis,74,160.0
Dale Davis,83,230.0
Deyonta Davis,81,237.0
Dwight Davis,80,220.0
Ed Davis,81,218.0
Emanual Davis,76,195.0
Glen Davis,81,289.0
Harry Davis,79,220.0
Hubert Davis,77,183.0
Jim Davis,81,225.0
Johnny Davis,74,170.0
Josh Davis,80,235.0
Lee Davis,80,235.0
Mark Davis,78,195.0
Mel Davis,78,220.0
Mickey Davis,79,195.0
Mike Davis,75,185.0
Monti Davis,79,205.0
Paul Davis,83,270.0
Ralph Davis,76,180.0
Red Davis,79,220.0
Ricky Davis,78,195.0
Ron Davis,78,198.0
Terence Davis,76,201.0
Terry Davis,81,225.0
Tyler Davis,82,266.0
Walt Davis,80,205.0
Walter Davis,78,193.0
Warren Davis,78,212.0
Willie Davis,80,234.0
JD Davison,73,195.0
Andre Dawkins,77,215.0
Darryl Dawkins,83,251.0
Johnny Dawkins,74,165.0
Paul Dawkins,77,190.0
Branden Dawson,78,225.0
Eric Dawson,81,250.0
Jimmy Dawson,72,175.0
Tony Dawson,79,215.0
Todd Day,78,188.0
Austin Daye,83,220.0
Darren Daye,80,220.0
Darius Days,79,245.0
Nando De Colo,77,200.0
Billy DeAngelis,73,180.0
Dave DeBusschere,78,220.0
Andrew DeClercq,82,230.0
Javin DeLaurier,82,237.0
Nate DeLong,78,220.0
Joe DePre,75,185.0
DeMar DeRozan,78,220.0
Hank DeZonie,78,215.0
Greg Deane,76,190.0
Gabriel Deck,78,231.0
Dewayne Dedmon,82,245.0
Don Dee,80,210.0
Archie Dees,80,205.0
Terry Dehere,74,190.0
Red Dehnert,75,175.0
Bryce Dejean-Jones,78,209.0
Sam Dekker,81,230.0
Vinny Del Negro,76,185.0
Malcolm Delaney,75,190.0
Bison Dele,83,260.0
Carlos Delfino,78,230.0
Ángel Delgado,82,245.0
Tony Delk,73,189.0
Matthew Dellavedova,75,200.0
Fennis Dembo,77,215.0
Larry Demic,81,225.0
Dell Demps,75,205.0
George Dempsey,74,190.0
Luol Deng,81,237.0
Kenny Dennard,80,220.0
Blaine Denning,74,175.0
Dexter Dennis,77,210.0
RayJ Dennis,73,180.0
Justin Dentmon,71,185.0
Randy Denton,82,240.0
Rod Derline,72,175.0
Marcus Derrickson,79,249.0
Dave Deutsch,73,170.0
Corky Devlin,77,195.0
Ernie DiGregorio,72,180.0
Donte DiVincenzo,76,203.0
Moussa Diabaté,82,210.0
Mamadi Diakite,81,228.0
Derrick Dial,76,184.0
Cheick Diallo,80,219.0
Hamidou Diallo,77,202.0
Boris Diaw,80,250.0
Mohamed Diawara,81,225.0
Yakhouba Diawara,79,225.0
Guillermo Díaz,74,192.0
Gradey Dick,79,200.0
Dan Dickau,72,190.0
Kaniel Dickens,80,215.0
Henry Dickerson,76,190.0
Michael Dickerson,77,190.0
Clyde Dickey,75,185.0
Derrek Dickey,79,218.0
Dick Dickey,73,175.0
Hunter Dickinson,85,255.0
John Dickson,82,240.0
Travis Diener,73,175.0
Gorgui Dieng,82,252.0
Ousmane Dieng,81,185.0
Connie Dierking,81,222.0
Coby Dietrick,82,220.0
Craig Dill,83,215.0
Dwaine Dillard,78,230.0
Mickey Dillard,75,170.0
Bob Dille,75,190.0
Rob Dillingham,74,175.0
Hook Dillon,75,180.0
Byron Dinkins,73,170.0
Jackie Dinkins,77,210.0
Harry Dinnel,76,200.0
Bill Dinwiddie,79,220.0
Spencer Dinwiddie,77,215.0
Ike Diogu,80,250.0
Egor Dёmin,80,200.0
DeSagana Diop,84,300.0
Terry Dischinger,79,189.0
Fred Diute,75,210.0
Vlade Divac,85,243.0
Juan Dixon,75,164.0
Earl Dodd,77,175.0
Michael Doleac,83,262.0
Joe Dolhon,72,175.0
Bob Doll,77,195.0
James Donaldson,86,275.0
Luka Dončić,80,230.0
Bob Donham,74,190.0
Billy Donovan,71,171.0
Harry Donovan,74,180.0
Keyon Dooling,75,196.0
Aleksandar Djordjevic,74,198.0
Jacky Dorsey,79,230.0
Joey Dorsey,80,268.0
Ron Dorsey,76,200.0
Tyler Dorsey,76,180.0
Luguentz Dort,76,220.0
Ayo Dosunmu,76,200.0
Damyean Dotson,77,210.0
Devon Dotson,73,185.0
Quincy Douby,75,175.0
Bruce Douglas,75,195.0
John Douglas,74,170.0
Leon Douglas,82,230.0
Sherman Douglas,72,180.0
Toney Douglas,74,195.0
Chris Douglas-Roberts,79,200.0
Sekou Doumbouya,80,230.0
Sonny Dove,79,198.0
Jerry Dover,67,155.0
Zabian Dowdell,75,191.0
Bill Downey,78,210.0
Steve Downing,80,225.0
Jeff Dowtin Jr.,75,177.0
Danny Doyle,80,200.0
Milton Doyle,76,180.0
PJ Dozier,78,212.0
Terry Dozier,81,210.0
Goran Dragić,76,190.0
Zoran Dragić,77,200.0
Greg Dreiling,85,250.0
Henri Drell,80,185.0
Bryce Drew,74,185.0
John Drew,78,205.0
Larry Drew,73,170.0
Larry Drew II,74,180.0
Clyde Drexler,79,210.0
Nate Driggers,77,215.0
Terry Driscoll,79,215.0
Predrag Drobnjak,83,270.0
Ralph Drollinger,86,250.0
Andre Drummond,83,279.0
Dennis DuVal,75,175.0
Chris Duarte,77,190.0
Alex Ducas,79,220.0
Dick Duckett,73,185.0
Kevin Duckworth,84,275.0
Charles Dudley,74,180.0
Chris Dudley,83,235.0
Jared Dudley,78,237.0
Terry Duerod,74,180.0
Bob Duffy,76,175.0
Chris Duhon,73,185.0
Duje Dukan,81,220.0
David Duke Jr.,76,204.0
Walter Dukes,84,220.0
Joe Dumars,75,190.0
Rich Dumas,75,170.0
Richard Dumas,79,200.0
Tony Dumas,78,190.0
Andy Duncan,78,195.0
Tim Duncan,83,250.0
Mike Dunleavy,75,180.0
Kris Dunn,75,205.0
Pat Dunn,74,170.0
Ryan Dunn,79,216.0
T.R. Dunn,76,192.0
Ronald Dupree,79,209.0
Kevin Durant,83,240.0
Jalen Duren,82,250.0
John Duren,75,195.0
Jarrett Durham,77,188.0
Pat Durham,79,210.0
Devin Durrant,79,200.0
Ken Durrett,79,190.0
Trevon Duval,74,189.0
Jack Dwan,76,200.0
Craig Dykema,80,190.0
Gene Dyker,78,225.0
Jerome Dyson,75,180.0
Ledell Eackles,77,220.0
Jim Eakins,83,215.0
Acie Earl,82,240.0
Ed Earle,75,190.0
Cleanthony Early,80,210.0
Penny Early,63,114.0
Tari Eason,80,215.0
Mark Eaton,88,275.0
Jerry Eaves,76,180.0
Devin Ebanks,81,215.0
Bill Ebben,76,190.0
Al Eberhard,78,225.0
Ndudi Ebi,81,200.0
Roy Ebron,81,220.0
Jaime Echenique,83,258.0
Jarell Eddie,79,218.0
Patrick Eddie,83,240.0
Dike Eddleman,75,189.0
Kenton Edelin,80,205.0
Zach Edey,87,305.0
Charles Edge,78,210.0
VJ Edgecombe,76,180.0
Bobby Edmonds,78,220.0
Keith Edmonson,77,195.0
Tyus Edney,70,152.0
Anthony Edwards,76,225.0
Bill Edwards,80,215.0
Blue Edwards,76,200.0
Carsen Edwards,71,200.0
Corsley Edwards,81,275.0
Doug Edwards,79,220.0
Franklin Edwards,73,170.0
James Edwards,85,252.0
Jay Edwards,76,185.0
Jesse Edwards,84,236.0
John Edwards,84,275.0
Justin Edwards,79,203.0
Kessler Edwards,80,203.0
Kevin Edwards,75,190.0
Rob Edwards,77,205.0
Shane Edwards,79,220.0
Vince Edwards,80,225.0
Johnny Egan,72,180.0
Lonnie Eggleston,72,170.0
Bulbs Ehlers,75,198.0
Craig Ehlo,78,180.0
Rich Eichhorst,75,200.0
Howard Eisley,74,177.0
Obinna Ekezie,81,270.0
Khalid El-Amin,70,200.0
Don Eliason,74,210.0
Mario Elie,77,210.0
CJ Elleby,78,200.0
Ray Ellefson,80,230.0
Henry Ellenson,82,240.0
Wayne Ellington,76,207.0
Bob Elliott,81,225.0
Sean Elliott,80,205.0
Bo Ellis,81,197.0
Boo Ellis,77,185.0
Dale Ellis,79,205.0
Harold Ellis,77,200.0
Joe Ellis,78,175.0
Keon Ellis,76,175.0
LaPhonso Ellis,80,240.0
LeRon Ellis,81,225.0
Leroy Ellis,83,210.0
Monta Ellis,75,185.0
Pervis Ellison,81,210.0
Len Elmore,81,220.0
Francisco Elson,84,235.0
Darrell Elston,76,190.0
Melvin Ely,82,260.0
Joel Embiid,84,280.0
Wayne Embry,80,240.0
Andre Emmett,77,230.0
Tristan Enaruna,79,220.0
Ned Endress,74,200.0
Wayne Engelstad,80,245.0
Chris Engler,83,245.0
A.J. English,75,175.0
Alex English,80,190.0
Claude English,76,185.0
Jo Jo English,76,195.0
Kim English,78,200.0
Scott English,78,205.0
Gene Englund,77,205.0
James Ennis III,78,215.0
Tyler Ennis,75,194.0
Ray Epps,78,195.0
Semih Erden,84,240.0
Bo Erias,75,220.0
Keith Erickson,77,195.0
Julius Erving,79,210.0
Evan Eschmeyer,83,255.0
Jack Eskridge,77,200.0
Vincenzo Esposito,75,198.0
Noa Essengue,80,200.0
Tyson Etienne,72,200.0
Drew Eubanks,82,245.0
Billy Evans,72,170.0
Bob Evans,74,175.0
Brian Evans,80,220.0
Earl Evans,80,202.0
Jacob Evans,76,210.0
Jawun Evans,72,190.0
Jeremy Evans,81,200.0
Maurice Evans,77,220.0
Mike Evans,73,170.0
Reggie Evans,80,245.0
Tyreke Evans,78,220.0
Tosan Evbuomwan,80,217.0
Daniel Ewing,75,185.0
Patrick Ewing,84,240.0
Danté Exum,77,214.0
Christian Eyenga,77,210.0
Festus Ezeli,83,255.0
Johnny Ezersky,75,175.0
Joe Fabel,73,190.0
John Fairchild,80,205.0
Tacko Fall,90,311.0
Phil Farbman,73,185.0
Kenneth Faried,80,220.0
Dick Farley,76,190.0
Jordan Farmar,74,180.0
Desmon Farmer,77,220.0
Jim Farmer,76,190.0
Mike Farmer,79,210.0
Tony Farmer,81,244.0
Bob Faught,77,185.0
Vítor Luiz Faverani,83,260.0
Derrick Favors,81,265.0
Nick Fazekas,83,235.0
Jeremiah Fears,75,190.0
Dave Fedor,78,190.0
Bob Feerick,75,190.0
Butch Feher,76,185.0
Jamie Feick,80,255.0
Ron Feiereisel,75,185.0
George Feigenbaum,73,185.0
Dave Feitl,83,235.0
Kay Felder,69,176.0
Cristiano Felício,83,270.0
Carrick Felix,78,201.0
Noel Felix,81,225.0
Ray Felix,83,220.0
Raymond Felton,73,205.0
Jake Fendley,72,180.0
Warren Fenley,75,190.0
Desmond Ferguson,79,203.0
Terrance Ferguson,78,190.0
Rudy Fernández,78,185.0
Bruno Fernando,81,240.0
Eric Fernsten,82,205.0
Al Ferrari,76,190.0
Rolando Ferreira,85,240.0
Duane Ferrell,79,209.0
Yogi Ferrell,72,178.0
Arnie Ferrin,74,180.0
Bob Ferry,80,230.0
Danny Ferry,82,230.0
Kyrylo Fesenko,85,288.0
Bobby Fields,75,175.0
Kenny Fields,77,220.0
Landry Fields,79,210.0
Ron Filipek,77,205.0
Kyle Filipowski,83,250.0
Greg Fillmore,85,240.0
Larry Finch,74,185.0
Hank Finkel,84,240.0
Michael Finley,79,215.0
Danny Finn,73,185.0
Dorian Finney-Smith,79,220.0
Matt Fish,83,235.0
Derek Fisher,73,200.0
Rick Fisher,77,215.0
Gerald Fitch,75,188.0
Malik Fitts,77,230.0
Bob Fitzgerald,77,190.0
Dick Fitzgerald,74,175.0
Marcus Fizer,81,262.0
Cooper Flagg,81,205.0
Adam Flagler,73,180.0
Jerry Fleishman,74,190.0
Al Fleming,79,215.0
Ed Fleming,75,189.0
Rasheer Fleming,81,240.0
Vern Fleming,77,185.0
Luis Flores,74,200.0
Bruce Flowers,80,225.0
Trentyn Flowers,81,185.0
Sleepy Floyd,75,170.0
Jonny Flynn,72,185.0
Malachi Flynn,73,185.0
Mike Flynn,74,180.0
Larry Fogle,77,205.0
Jack Foley,75,170.0
Isaac Fontaine,76,210.0
Levi Fontaine,76,190.0
Simone Fontecchio,79,209.0
Jeff Foote,84,265.0
Bryn Forbes,74,205.0
Gary Forbes,79,220.0
Aleem Ford,80,220.0
Alphonso Ford,73,190.0
Alton Ford,81,275.0
Bob Ford,79,228.0
Chris Ford,77,190.0
Don Ford,81,215.0
Jake Ford,75,180.0
Jordan Ford,73,175.0
Phil Ford,74,175.0
Sharrod Ford,81,225.0
Sherell Ford,79,210.0
T.J. Ford,72,165.0
Donnie Forman,70,175.0
Bayard Forrest,82,235.0
Trent Forrest,76,210.0
Joseph Forte,76,194.0
Courtney Fortson,71,185.0
Danny Fortson,79,260.0
Fred Foster,77,210.0
Greg Foster,83,240.0
Jeff Foster,83,236.0
Jimmy Foster,73,175.0
Michael Foster Jr.,80,250.0
Rod Foster,73,160.0
Antonis Fotsis,82,219.0
Evan Fournier,78,205.0
Larry Foust,81,215.0
Calvin Fowler,72,175.0
Jerry Fowler,80,230.0
Tremaine Fowlkes,80,220.0
De'Aaron Fox,75,185.0
Harold Fox,74,175.0
Jim Fox,82,230.0
Rick Fox,79,230.0
Randy Foye,76,213.0
Adonal Foyle,82,250.0
Richie Frahm,77,210.0
Steve Francis,75,195.0
Tellis Frank,82,225.0
Nat Frankel,72,195.0
Bill Franklin,79,220.0
Jamaal Franklin,77,191.0
Robert Franks,79,225.0
Ron Franz,79,205.0
Melvin Frazier,78,210.0
Michael Frazier,75,200.0
Tim Frazier,73,170.0
Walt Frazier,76,200.0
Will Frazier,79,210.0
Anthony Frederick,79,205.0
Jimmer Fredette,74,195.0
World B. Free,75,190.0
Enes Freedom,82,250.0
Joel Freeland,82,250.0
Donnie Freeman,75,185.0
Enrique Freeman,81,220.0
Gary Freeman,81,210.0
Rod Freeman,79,225.0
Javon Freeman-Liberty,75,190.0
Matt Freije,82,240.0
Frido Frey,74,195.0
Larry Friend,76,185.0
Pat Frink,76,195.0
Jim Fritsche,80,210.0
Channing Frye,84,255.0
Bernie Fryer,75,185.0
Frank Fucarino,74,175.0
Alex Fudge,80,200.0
Herm Fuetsch,72,170.0
Joe Fulks,77,190.0
Carl Fuller,81,225.0
Hiram Fuller,81,240.0
Todd Fuller,83,255.0
Tony Fuller,76,180.0
Markelle Fultz,76,209.0
Lawrence Funderburke,81,230.0
Andrew Funk,77,200.0
Terry Furlow,76,190.0
Johnny Furphy,80,200.0
Bill Gabor,71,170.0
Wenyen Gabriel,81,205.0
Dan Gadzuric,83,240.0
Daniel Gafford,82,265.0
Deng Gai,81,250.0
Elmer Gainer,78,195.0
Bill Gaines,76,185.0
Corey Gaines,75,195.0
Reece Gaines,78,205.0
Smokey Gaines,73,170.0
Sundiata Gaines,73,185.0
Mike Gale,76,185.0
Chad Gallagher,82,255.0
Harry Gallatin,78,210.0
Gene Gallette,74,205.0
Danilo Gallinari,82,236.0
Langston Galloway,73,200.0
Dave Gambee,78,215.0
Kevin Gamble,77,210.0
Bob Gantt,76,205.0
Jorge Garbajosa,81,245.0
Rubén Garcés,81,245.0
Alex Garcia,75,220.0
Andersson Garcia,79,220.0
Francisco García,79,195.0
Chuck Gardner,80,205.0
Earl Gardner,75,195.0
Ken Gardner,77,205.0
Myron Gardner,77,220.0
Thomas Gardner,77,225.0
Vern Gardner,77,200.0
Jack Garfinkel,72,190.0
Patricio Garino,78,210.0
Darius Garland,73,192.0
Gary Garland,76,180.0
Winston Garland,74,170.0
Dick Garmaker,75,200.0
Bill Garner,82,220.0
Chris Garner,70,156.0
Bill Garnett,81,225.0
Kevin Garnett,83,240.0
Marlon Garnett,74,186.0
Billy Garrett,78,215.0
Calvin Garrett,79,190.0
Dean Garrett,83,250.0
Diante Garrett,76,190.0
Dick Garrett,75,185.0
Marcus Garrett,77,205.0
Rowland Garrett,78,210.0
Tom Garrick,74,185.0
John Garris,80,205.0
Kiwane Lemorris Garris,74,183.0
Pat Garrity,81,238.0
Usman Garuba,80,229.0
Jim Garvin,79,200.0
Luka Garza,82,243.0
Marc Gasol,83,255.0
Pau Gasol,84,250.0
Frank Gates,72,160.0
Kaiser Gates,80,223.0
Chris Gatling,82,220.0
Kenny Gattison,80,225.0
Rudy Gay,80,250.0
Ed Gayda,76,210.0
Andrew Gaze,79,205.0
Michael Gbinije,79,200.0
Reggie Geary,74,187.0
Alonzo Gee,78,225.0
Matt Geiger,84,243.0
Mickaël Gelabale,79,215.0
Devean George,80,220.0
Jack George,74,190.0
Keyonte George,76,185.0
Kyshawn George,80,200.0
Paul George,80,220.0
Tate George,77,190.0
Marcus Georges-Hunt,77,226.0
Gus Gerard,80,200.0
Derrick Gervin,80,200.0
George Gervin,79,180.0
Gorham Getchell,76,205.0
John Gianelli,82,220.0
Dick Gibbs,77,210.0
Daniel Gibson,74,190.0
Dee Gibson,71,175.0
Hoot Gibson,77,198.0
Jonathan Gibson,74,185.0
Mel Gibson,75,180.0
Mike Gibson,82,205.0
Taj Gibson,81,232.0
J.R. Giddens,77,215.0
Josh Giddey,79,216.0
Keshon Gilbert,76,200.0
Trey Gilder,81,185.0
Harry Giles,82,240.0
Shai Gilgeous-Alexander,78,195.0
Anthony Gill,79,230.0
Eddie Gill,72,190.0
Kendall Gill,77,195.0
Ben Gillery,84,235.0
Collin Gillespie,73,195.0
Freddie Gillespie,81,245.0
Jack Gillespie,78,215.0
Armen Gilliam,81,230.0
Herm Gilliam,75,190.0
Artis Gilmore,86,240.0
Walt Gilmore,78,225.0
Chuck Gilmur,76,225.0
Jacob Gilyard,68,160.0
Manu Ginóbili,78,205.0
Gordan Giriček,78,210.0
Jack Givens,77,205.0
Mickell Gladness,83,220.0
George Glamack,78,225.0
Gerald Glass,77,221.0
Mike Glenn,74,175.0
Normie Glick,79,190.0
Georgi Glouchkov,80,235.0
Clarence Glover,80,210.0
Dion Glover,77,228.0
Andreas Glyniadakis,85,280.0
Mike Gminski,83,250.0
Rudy Gobert,85,258.0
Dan Godfread,82,250.0
Tom Gola,78,205.0
Ben Goldfaden,73,185.0
Vladislav Goldin,84,250.0
Anthony Goldwire,73,182.0
Ryan Gomes,79,250.0
Glen Gondrezick,78,218.0
Grant Gondrezick,77,205.0
Hugo González,78,200.0
Drew Gooden,82,250.0
Gail Goodrich,73,170.0
Steve Goodrich,82,220.0
Archie Goodwin,77,200.0
Brandon Goodwin,72,180.0
Jordan Goodwin,75,215.0
Pop Goodwin,74,203.0
Aaron Gordon,80,235.0
Ben Gordon,75,200.0
Drew Gordon,81,245.0
Eric Gordon,75,215.0
Lancaster Gordon,75,185.0
Paul Gordon,75,185.0
Marcin Gortat,83,240.0
Jazian Gortman,74,184.0
Leo Gottlieb,71,180.0
Andrew Goudelock,75,200.0
Gerald Govan,82,220.0
Bato Govedarica,71,185.0
Joe Graboski,79,195.0
Ricky Grace,73,180.0
Calvin Graham,74,195.0
Devonte' Graham,73,195.0
Greg Graham,76,174.0
Joey Graham,79,225.0
Mal Graham,73,185.0
Orlando Graham,80,220.0
Paul Graham,78,200.0
Stephen Graham,78,215.0
Treveon Graham,77,219.0
Jim Grandholm,84,235.0
Ron Grandison,78,215.0
Danny Granger,81,222.0
Stewart Granger,75,190.0
Brian Grant,81,254.0
Bud Grant,75,195.0
Gary Grant,75,185.0
Greg Grant,67,140.0
Harvey Grant,80,195.0
Horace Grant,82,215.0
Jerami Grant,79,213.0
Jerian Grant,76,205.0
Josh Grant,81,223.0
Paul Grant,84,245.0
Travis Grant,79,215.0
Donte Grantham,80,215.0
Don Grate,74,185.0
Butch Graves,75,200.0
Hassani Gravett,74,188.0
Aaron Gray,84,270.0
Devin Gray,79,240.0
Ed Gray,75,210.0
Evric Gray,79,235.0
Gary Gray,73,185.0
Hayden Gray,76,190.0
Josh Gray,72,180.0
Leonard Gray,80,240.0
RaiQuan Gray,79,260.0
Stuart Gray,84,235.0
Sylvester Gray,78,230.0
Wyndol Gray,73,175.0
Jeff Grayer,77,200.0
Bob Greacen,79,206.0
A.C. Green,81,220.0
A.J. Green,76,190.0
Danny Green,78,215.0
Devin Green,79,210.0
Draymond Green,78,230.0
Erick Green,76,185.0
Gerald Green,78,205.0
Jalen Green,76,186.0
JaMychal Green,81,227.0
Javonte Green,77,205.0
Jeff Green,80,235.0
Johnny Green,77,200.0
Josh Green,78,200.0
Ken Green,80,215.0
Kenny Green,78,210.0
Lamar Green,79,210.0
Litterial Green,73,185.0
Luther Green,79,190.0
Mike Green,82,200.0
Rickey Green,72,170.0
Sean Green,77,210.0
Si Green,74,185.0
Sidney Green,81,220.0
Steve Green,79,220.0
Taurean Green,72,177.0
Tommie Green,74,185.0
Willie Green,76,200.0
Donté Greene,83,226.0
Orien Greene,76,208.0
Jerry Greenspan,77,195.0
Dave Greenwood,81,222.0
Hal Greer,74,175.0
Lynn Greer,74,175.0
Gary Gregor,79,225.0
Claude Gregory,80,205.0
John Greig,79,215.0
Norm Grekin,77,180.0
Kevin Grevey,77,210.0
Dennis Grey,80,215.0
Adrian Griffin,77,217.0
AJ Griffin,78,220.0
Blake Griffin,81,250.0
Eddie Griffin,82,220.0
Greg Griffin,79,190.0
Paul Griffin,81,205.0
Taylor Griffin,79,238.0
Darrell Griffith,76,190.0
Chuck Grigsby,77,190.0
Quentin Grimes,76,210.0
Derek Grimm,81,230.0
Woody Grimshaw,73,185.0
Dick Groat,71,180.0
Bob Gross,78,200.0
Mike Grosso,81,230.0
Jerry Grote,76,215.0
Alex Groza,79,218.0
Dick Grubar,76,184.0
Anthony Grundy,75,180.0
Ernie Grunfeld,78,210.0
Gene Guarilia,77,220.0
Pétur Guðmundsson,86,260.0
Marko Gudurić,78,201.0
Richie Guerin,76,195.0
Mouhamadou Gueye,81,210.0
Mouhamed Gueye,83,210.0
Tom Gugliotta,82,240.0
Andrés Guibert,82,225.0
Jay Guidinger,82,255.0
Coulby Gunther,76,190.0
Dave Gunther,79,190.0
Al Guokas,77,200.0
Matt Guokas,75,195.0
Jorge Gutiérrez,75,191.0
Kyle Guy,73,167.0
A.J. Guyton,73,180.0
Rui Hachimura,80,230.0
Rudy Hackett,81,210.0
Hamed Haddadi,86,254.0
Jim Hadnot,82,235.0
Scott Haffner,75,180.0
Cliff Hagan,76,210.0
Glenn Hagan,72,170.0
Tom Hagan,75,185.0
Ashton Hagans,75,190.0
Robert Hahn,82,240.0
Al Hairston,73,170.0
Happy Hairston,79,225.0
Lindsay Hairston,79,180.0
Malik Hairston,78,220.0
P.J. Hairston,78,230.0
Marcus Haislip,82,230.0
Chick Halbert,81,225.0
Swede Halbrook,87,235.0
Bruce Hale,73,170.0
Hal Hale,73,180.0
Jack Haley,82,240.0
Tyrese Haliburton,77,185.0
Shaler Halimon,77,199.0
Devon Hall,74,215.0
Donta Hall,82,230.0
Jordan Hall,79,220.0
Josh Hall,81,190.0
Mike Hall,80,230.0
PJ Hall,80,245.0
Tyler Hall,77,210.0
Jeff Halliburton,77,193.0
Darvin Ham,79,220.0
Steve Hamer,84,245.0
Dale Hamilton,72,180.0
Daniel Hamilton,79,195.0
Dennis Hamilton,80,210.0
Joe Hamilton,70,160.0
Jordan Hamilton,79,220.0
Justin Hamilton,84,260.0
Ralph Hamilton,73,188.0
Richard Hamilton,79,185.0
Roy Hamilton,74,180.0
Steve Hamilton,78,190.0
Tang Hamilton,80,220.0
Thomas Hamilton,86,330.0
Zendon Hamilton,83,250.0
Geert Hammink,84,262.0
Julian Hammond,77,205.0
Tom Hammonds,81,215.0
A.J. Hammons,84,260.0
Joe Hamood,72,180.0
R.J. Hampton,76,175.0
Darrin Hancock,79,205.0
Ben Handlogten,82,240.0
Cecil Hankins,73,175.0
Phil Hankinson,80,195.0
Dusty Hannahs,76,195.0
Alex Hannum,79,210.0
Don Hanrahan,79,200.0
Rollen Hans,74,210.0
Ben Hansbrough,75,203.0
Tyler Hansbrough,81,250.0
Bob Hansen,78,190.0
Glenn Hansen,76,205.0
Lars Hansen,82,225.0
Travis Hansen,78,205.0
Yang Hansen,85,270.0
Reggie Hanson,80,195.0
Bill Hanzlik,79,185.0
Luke Harangody,80,246.0
Anfernee Hardaway,79,195.0
Tim Hardaway,72,175.0
Tim Hardaway Jr.,77,205.0
James Harden,77,220.0
Reggie Harding,84,249.0
Charlie Hardnett,80,225.0
Alan Hardy,79,195.0
Darrell Hardy,79,220.0
Jaden Hardy,75,198.0
James Hardy,80,220.0
Ira Harge,81,225.0
John Hargis,74,180.0
Elijah Harkless,75,195.0
Maurice Harkless,79,220.0
Jerry Harkness,74,175.0
Skip Harlicka,73,185.0
Jerome Harmon,76,190.0
Derek Harper,76,185.0
Dylan Harper,77,215.0
Jared Harper,70,175.0
Justin Harper,82,225.0
Mike Harper,82,195.0
Ron Harper,78,185.0
Ron Harper Jr.,77,233.0
Matt Harpring,79,231.0
Montrezl Harrell,79,240.0
Josh Harrellson,82,275.0
