Age,G,GS,MP,FG,FGA,FG%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3P,3PA,3P%,2P,2PA,2P%,eFG%,career_ft_pct,prev_ft_pct,career_seasons,target,height_in,weight_lb,ast_to_tov,pts_per_fga,threep_rate,reb_per_min,stocks_per_min,scoring_load,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
24.0,81.0,6.0,20.6,4.5,10.4,0.433,0.9,1.2,2.1,1.8,0.4,0.1,1.1,2.0,10.9,0.1,0.4,0.176,4.4,10.0,0.443,0.436,0.7272727272727274,0.707,1,1,75,175.0,1.6363636363636362,1.0480769230769231,0.038461538461538464,0.10194174757281553,0.024271844660194174,0.5048543689320388,False,False,False,False,True
24.0,26.0,2.0,18.7,3.1,7.3,0.421,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,1.3,3.9,0.327,1.8,3.4,0.528,0.508,0.5000000000000002,0.652,2,0,78,179.0,2.0,1.2465753424657533,0.5342465753424658,0.1764705882352941,0.0374331550802139,0.39037433155080214,False,False,False,False,True
23.0,56.0,2.0,15.4,2.6,6.3,0.41,0.2,1.4,1.6,1.9,0.6,0.1,1.1,0.9,7.3,1.1,3.1,0.345,1.5,3.2,0.472,0.494,0.0,0.0,0,1,74,181.0,1.727272727272727,1.1587301587301588,0.4920634920634921,0.1038961038961039,0.04545454545454545,0.40909090909090906,False,False,True,False,False
24.0,50.0,0.0,15.9,2.3,6.4,0.356,0.3,1.1,1.4,2.2,0.6,0.0,1.1,1.2,6.5,0.8,3.0,0.275,1.5,3.4,0.427,0.42,0.846153846153846,0.8,1,0,74,181.0,2.0,1.015625,0.46875,0.0880503144654088,0.03773584905660377,0.4025157232704403,False,False,True,False,False
26.0,57.0,22.0,22.4,2.8,7.2,0.39,0.4,1.6,2.0,3.6,0.6,0.1,1.1,1.3,7.7,1.2,3.5,0.35,1.6,3.7,0.427,0.475,0.7567567567567567,0.8,3,1,74,181.0,3.2727272727272725,1.0694444444444444,0.4861111111111111,0.08928571428571429,0.03125,0.32142857142857145,False,False,True,False,False
26.0,6.0,0.0,6.5,0.5,2.0,0.25,0.2,0.3,0.5,1.3,0.2,0.0,0.7,0.2,2.0,0.0,0.2,0.0,0.5,1.8,0.273,0.25,0.0,0.0,0,1,74,180.0,1.8571428571428574,1.0,0.1,0.07692307692307693,0.03076923076923077,0.3076923076923077,False,False,True,False,False
20.0,29.0,11.0,22.0,2.8,7.3,0.385,0.3,1.8,2.0,2.6,0.4,0.1,1.2,1.7,7.6,0.8,3.1,0.267,2.0,4.2,0.472,0.441,0.0,0.0,0,1,77,160.0,2.166666666666667,1.0410958904109588,0.4246575342465754,0.09090909090909091,0.022727272727272728,0.3318181818181818,False,False,False,False,True
23.0,51.0,0.0,11.9,1.8,4.4,0.413,0.3,0.8,1.1,1.7,0.3,0.1,0.9,1.4,5.2,0.7,2.1,0.33,1.1,2.3,0.491,0.493,0.0,0.0,0,1,72,161.0,1.8888888888888888,1.1818181818181817,0.47727272727272724,0.09243697478991597,0.03361344537815126,0.3697478991596639,False,False,True,False,False
24.0,80.0,35.0,25.0,4.0,9.8,0.404,0.4,1.6,2.0,3.0,0.6,0.1,1.6,1.9,11.2,1.4,3.9,0.366,2.5,5.9,0.428,0.476,0.8000000000000003,0.857,1,1,72,161.0,1.875,1.1428571428571428,0.39795918367346933,0.08,0.027999999999999997,0.392,False,False,True,False,False
25.0,82.0,82.0,35.6,7.0,16.2,0.432,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6,2.5,6.4,0.398,4.5,9.8,0.454,0.511,0.8437499999999999,0.866,2,1,72,161.0,1.892857142857143,1.2098765432098766,0.39506172839506176,0.07303370786516854,0.028089887640449437,0.45505617977528084,False,False,True,False,False
26.0,59.0,12.0,21.8,3.7,9.9,0.375,0.3,1.0,1.3,3.9,0.6,0.1,1.7,1.9,10.7,1.2,4.0,0.297,2.5,5.9,0.427,0.434,0.8382352941176473,0.822,3,1,72,161.0,2.2941176470588234,1.0808080808080807,0.40404040404040403,0.05963302752293578,0.03211009174311926,0.4541284403669725,False,False,True,False,False
28.0,53.0,20.0,18.8,2.7,6.0,0.453,0.2,1.3,1.5,2.2,0.6,0.2,1.3,1.8,7.1,0.9,2.5,0.373,1.8,3.4,0.511,0.532,0.8478260869565218,0.886,4,1,72,161.0,1.6923076923076923,1.1833333333333333,0.4166666666666667,0.07978723404255318,0.0425531914893617,0.3191489361702127,False,False,True,False,False
29.0,72.0,12.0,21.6,3.2,8.1,0.401,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2.0,9.0,1.3,3.4,0.387,1.9,4.6,0.411,0.484,0.843137254901961,0.769,5,1,72,161.0,2.0,1.1111111111111112,0.4197530864197531,0.08796296296296295,0.04166666666666666,0.37499999999999994,False,False,True,False,False
30.0,82.0,21.0,23.0,4.2,10.0,0.421,0.4,1.6,2.0,3.2,0.7,0.2,1.9,2.3,11.6,1.5,3.8,0.387,2.7,6.1,0.442,0.495,0.852173913043478,0.874,6,1,72,161.0,1.6842105263157896,1.16,0.38,0.08695652173913043,0.03913043478260869,0.43478260869565216,False,False,True,False,False
19.0,47.0,8.0,17.0,2.0,4.4,0.447,1.0,2.6,3.6,0.7,0.4,0.5,0.8,1.8,5.2,0.3,1.0,0.271,1.7,3.4,0.5,0.478,0.0,0.0,0,0,80,235.0,0.8749999999999999,1.1818181818181817,0.22727272727272727,0.21176470588235294,0.052941176470588235,0.25882352941176473,False,True,False,False,False
20.0,78.0,37.0,23.9,3.5,7.4,0.473,2.0,4.5,6.5,1.6,0.8,0.7,0.8,2.0,9.2,0.5,1.8,0.296,3.0,5.6,0.531,0.509,0.6923076923076925,0.721,1,0,80,235.0,2.0,1.243243243243243,0.24324324324324323,0.27196652719665276,0.06276150627615062,0.3096234309623431,False,True,False,False,False
21.0,80.0,72.0,28.7,4.9,10.8,0.454,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,1.0,3.3,0.288,4.0,7.5,0.528,0.499,0.6842105263157894,0.668,2,0,80,235.0,1.727272727272727,1.1759259259259258,0.3055555555555555,0.17770034843205573,0.04529616724738676,0.37630662020905925,False,False,False,True,False
22.0,58.0,57.0,32.9,6.5,14.9,0.434,1.5,6.4,7.9,2.3,1.0,0.8,1.8,1.9,17.6,2.0,5.9,0.336,4.5,9.0,0.497,0.5,0.7076923076923076,0.719,3,0,80,235.0,1.2777777777777777,1.1812080536912752,0.39597315436241615,0.2401215805471125,0.0547112462006079,0.452887537993921,False,True,False,False,False
23.0,78.0,78.0,33.8,6.0,13.4,0.449,1.7,5.7,7.4,3.7,0.7,0.7,2.1,2.2,16.0,1.6,4.4,0.349,4.5,9.0,0.499,0.507,0.7019230769230769,0.698,4,0,80,235.0,1.7619047619047619,1.1940298507462686,0.3283582089552239,0.21893491124260359,0.04142011834319527,0.39644970414201186,False,True,False,False,False
24.0,62.0,62.0,32.5,5.4,12.4,0.437,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4,1.2,3.8,0.308,4.2,8.5,0.494,0.484,0.7132352941176471,0.731,5,0,80,235.0,2.3125,1.1612903225806452,0.30645161290322576,0.23692307692307693,0.043076923076923075,0.38153846153846155,False,True,False,False,False
25.0,50.0,50.0,27.7,4.6,10.0,0.463,1.5,4.1,5.7,3.2,0.7,0.7,1.9,1.8,12.4,1.2,3.5,0.335,3.4,6.5,0.533,0.522,0.7034883720930233,0.674,6,0,80,235.0,1.6842105263157896,1.24,0.35,0.20577617328519857,0.05054151624548736,0.36101083032490977,False,True,False,False,False
26.0,75.0,75.0,31.7,5.8,11.1,0.52,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2.0,15.0,1.2,3.5,0.335,4.6,7.7,0.605,0.573,0.6930693069306931,0.651,7,0,80,235.0,1.3888888888888888,1.3513513513513513,0.3153153153153153,0.1861198738170347,0.03785488958990536,0.3501577287066246,False,True,False,False,False
27.0,68.0,68.0,30.2,6.3,11.2,0.564,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,0.9,2.5,0.347,5.4,8.6,0.628,0.603,0.6995708154506437,0.743,8,0,80,235.0,2.142857142857143,1.455357142857143,0.22321428571428573,0.2185430463576159,0.05298013245033113,0.3708609271523179,False,True,False,False,False
28.0,73.0,73.0,31.5,5.5,9.8,0.556,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,0.5,1.9,0.29,4.9,7.9,0.619,0.584,0.6845878136200717,0.608,9,0,80,235.0,2.5,1.4183673469387754,0.19387755102040813,0.20634920634920634,0.04444444444444444,0.3111111111111111,False,True,False,False,False
29.0,51.0,42.0,28.4,5.2,9.7,0.531,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,1.5,3.4,0.436,3.7,6.4,0.582,0.607,0.6803797468354429,0.658,10,1,80,235.0,2.285714285714286,1.5154639175257731,0.3505154639175258,0.16901408450704225,0.028169014084507046,0.3415492957746479,False,True,False,False,False
23.0,61.0,1.0,10.0,1.7,3.3,0.505,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1.9,4.3,0.0,0.0,0.0,1.7,3.3,0.507,0.505,0.0,0.0,0,0,84,270.0,0.7777777777777777,1.303030303030303,0.0,0.27999999999999997,0.06,0.32999999999999996,True,False,False,False,False
24.0,56.0,18.0,12.8,1.4,3.0,0.485,1.5,2.4,3.9,0.8,0.3,0.3,0.7,2.4,3.5,0.0,0.0,0.0,1.4,3.0,0.488,0.485,0.5625,0.566,1,0,84,270.0,1.142857142857143,1.1666666666666667,0.0,0.3046875,0.04687499999999999,0.234375,True,False,False,False,False
27.0,49.0,40.0,16.6,1.7,3.3,0.516,1.7,4.0,5.7,0.6,0.4,0.3,1.0,2.6,3.9,0.0,0.0,0.0,1.7,3.3,0.516,0.516,0.5681818181818181,0.5,4,0,84,270.0,0.6,1.1818181818181819,0.0,0.3433734939759036,0.04216867469879518,0.19879518072289154,True,False,False,False,False
28.0,42.0,16.0,12.2,1.1,2.1,0.533,1.1,2.0,3.2,0.8,0.2,0.1,0.9,2.0,2.8,0.0,0.0,0.0,1.1,2.1,0.533,0.533,0.5555555555555555,0.532,5,0,84,270.0,0.888888888888889,1.3333333333333333,0.0,0.26229508196721313,0.024590163934426236,0.17213114754098363,True,False,False,False,False
23.0,9.0,3.0,25.9,2.1,7.7,0.275,0.4,2.2,2.7,1.2,1.0,0.2,0.3,3.0,6.7,1.0,4.8,0.209,1.1,2.9,0.385,0.341,0.3999999999999999,0.5,2,1,78,210.0,4.0,0.8701298701298701,0.6233766233766234,0.10424710424710426,0.04633204633204633,0.2972972972972973,False,False,False,False,True
22.0,50.0,0.0,12.9,2.1,5.2,0.401,0.1,1.2,1.3,1.7,0.4,0.3,0.8,1.4,5.9,0.9,2.5,0.339,1.2,2.7,0.459,0.483,0.0,0.0,0,1,72,185.0,2.125,1.1346153846153846,0.4807692307692307,0.10077519379844961,0.05426356589147286,0.40310077519379844,False,False,True,False,False
23.0,66.0,33.0,24.5,3.5,8.5,0.414,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,9.5,1.3,3.3,0.394,2.2,5.2,0.427,0.491,0.8000000000000003,0.82,1,1,72,185.0,2.6153846153846154,1.1176470588235294,0.388235294117647,0.09795918367346938,0.04081632653061224,0.3469387755102041,False,False,True,False,False
24.0,66.0,8.0,17.8,2.6,6.6,0.39,0.2,1.1,1.3,1.9,0.7,0.2,1.0,1.4,7.2,1.0,2.8,0.368,1.6,3.8,0.406,0.467,0.8260869565217394,0.851,2,1,72,185.0,1.9,1.090909090909091,0.42424242424242425,0.07303370786516854,0.05056179775280898,0.37078651685393255,False,False,True,False,False
25.0,63.0,15.0,16.2,2.4,5.4,0.447,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.8055555555555556,0.819,3,1,72,185.0,2.1818181818181817,1.1666666666666665,0.2962962962962963,0.11728395061728394,0.04938271604938271,0.33333333333333337,False,False,True,False,False
31.0,1.0,0.0,35.0,3.0,9.0,0.333,2.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,1.0,4.0,0.25,2.0,5.0,0.4,0.389,0.0,0.0,0,0,75,183.0,1.0,0.8888888888888888,0.4444444444444444,0.08571428571428572,0.0,0.2571428571428571,False,False,True,False,False
22.0,76.0,0.0,22.8,4.9,10.2,0.477,1.8,3.0,4.8,0.9,0.5,0.2,0.0,2.9,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,80,210.0,0.0,1.1470588235294117,0.0,0.21052631578947367,0.03070175438596491,0.4473684210526315,False,False,False,True,False
23.0,75.0,0.0,17.9,3.5,7.9,0.441,1.2,2.1,3.3,0.8,0.4,0.1,0.0,2.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.778,1,1,80,210.0,0.0,1.1392405063291138,0.0,0.18435754189944134,0.02793296089385475,0.44134078212290506,False,False,False,True,False
24.0,52.0,0.0,20.4,4.6,9.3,0.49,1.1,2.5,3.6,1.1,0.4,0.1,0.0,2.4,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499999999999999,0.75,2,1,80,210.0,0.0,1.172043010752688,0.0,0.17647058823529413,0.02450980392156863,0.4558823529411765,False,False,False,True,False
25.0,80.0,0.0,26.5,5.4,10.8,0.497,2.0,3.2,5.3,1.4,0.5,0.3,1.6,3.2,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7567567567567567,0.781,3,0,80,210.0,0.8749999999999999,1.1296296296296295,0.0,0.19999999999999998,0.03018867924528302,0.4075471698113208,False,False,False,True,False
